Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-3,L-Threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2489.319,0.0,0.0,0.0,C4H9NO3
C13-label-4,L-Threonine,0.0,0.0,0.0,0.0,96732.81,157604.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123381.8,50278.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57516.2,C4H9NO3
N15-label-1,L-Threonine,9145.877,4666.235,4941.718,9015.55,27532.54,11698.75,0.0,4662.225,8139.323,5966.296,11936.64,3574.51,4159.195,11257.37,15801.3,23675.6,8997.571,4625.996,9481.509,3405.363,7690.396,14471.67,0.0,24900.96,C4H9NO3
C13N15-label-1-1,L-Threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H9NO3
C13N15-label-2-1,L-Threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H9NO3
C13N15-label-3-1,L-Threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C4H9NO3
C13N15-label-4-1,L-Threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7971.177,0.0,0.0,4162.907,3642.174,0.0,0.0,0.0,0.0,0.0,0.0,C4H9NO3
C12 PARENT,Purine,318071.6,246783.3,377324.1,381903.0,0.0,378441.9,222008.0,310443.9,353421.2,390674.6,366261.0,0.0,345854.1,252810.7,349073.2,0.0,266957.4,268979.7,0.0,0.0,333857.8,0.0,353043.1,278631.6,C5H4N4
C13-label-1,Purine,15518.62,8831.25,19440.88,16878.45,11532.48,13490.6,11013.77,0.0,19552.03,21882.7,19363.18,0.0,22138.38,0.0,13098.54,0.0,13317.25,11729.27,12910.24,0.0,20477.39,0.0,0.0,15214.95,C5H4N4
C13-label-2,Purine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H4N4
C13-label-3,Purine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H4N4
